Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
Carniceria La Cabana #4 (Store),5426 N Road 68   Pasco WA 99301,"Carniceria La Cabana  ,5426 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2766193,-119.187234
Carniceria La Carreta (Store),1305 W 4th Ave  Kennewick WA 99336,"Carniceria La Carreta ,1305 W 4th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.205674,-119.136316
Carniceria La Catrina (Grocery),2115 E Lewis St  Pasco WA 99301,"Carniceria La Catrina ,2115 E Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.23383402,-119.068484
Carniceria Los Toreros (Store),210  Chardonnay Ave  Prosser WA 99350,"Carniceria Los Toreros ,210  Chardonnay Ave  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2181949,-119.7869282
Circle K #2706025 (Store),4823  Broadmoor Blvd  Pasco WA 99301,"Circle K  ,4823  Broadmoor Blvd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.27126415,-119.2210243
Circle K #2706026 (Store),1401  George Washington Way  Richland WA 99352,"Circle K  ,1401  George Washington Way  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.289962,-119.274425
Circle K #2706027 (Store),104 S Washington St  Kennewick WA 99336,"Circle K  ,104 S Washington St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.20745873,-119.1170814
Circle K #2706028 (Store),3109 W Court St  Pasco WA 99301,"Circle K  ,3109 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.24213485,-119.1322155
Circle K #2706029 (Store),1002 S Washington St  Kennewick WA 99336,"Circle K  ,1002 S Washington St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.19807184,-119.1171751
Circle K #2706030 (Store),5301 W Canal Dr  Kennewick WA 99336,"Circle K  ,5301 W Canal Dr  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.223144,-119.19184
