Name,InspectionAddress,Full Address,BillingType,Status,Billing Type Specification,Store Type,Sells Produce,Latitude,Longitude
La Villa (Store),214 N 4th Ave  Pasco WA 99301,"La Villa ,214 N 4th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2320463,-119.0933658
Lee's Market (Store),5730 W Van Giesen St  West Richland WA 99353,"Lee's Market ,5730 W Van Giesen St  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.30408543,-119.3607939
Lep-re-kon Harvest Foods #7 (Store),471  Wine Country Rd  Prosser WA 99350,"Lep-re-kon Harvest Foods  ,471  Wine Country Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.21611876,-119.7867099
Lep-Re-Kon Mart #4 (Store),620 S Columbia Ave  Connell WA 99326,"Lep-Re-Kon Mart  ,620 S Columbia Ave  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.65561963,-118.8612534
Leyte Oriental Store (Store),1412  Jadwin Ave  Richland WA 99354,"Leyte Oriental Store ,1412  Jadwin Ave  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.28979782,-119.2774193
Los Toreros (Grocery),618  9th St  Benton City WA 99320,"Los Toreros ,618  9th St  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.26368597,-119.4877518
Love's Travel Stop #811 (Store),3602 N Capitol Ave  Pasco WA 99301,"Love's Travel Stop  ,3602 N Capitol Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.26390431,-119.081859
Love's Travel Stop (Store),700  Wine Country Rd  Prosser WA 99350,"Love's Travel Stop ,700  Wine Country Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2152153,-119.7412529
Lucky Food Mart (Store),22  Goethals Dr  Richland WA 99352,"Lucky Food Mart ,22  Goethals Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.26089903,-119.2815572
Market North Co.,270  Helm Dr  Pasco WA 99301,"Market North Co.,270  Helm Dr  Pasco WA 99301",0 Seats,Permitted,(None,,Food Service,46.3363531,-119.2277883
"Maverik, Inc. #504 (Store)",4306 W Clearwater Ave  Kennewick WA 99336,"Maverik,Inc.  ,4306 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.21245354,-119.1785221
"Maverik, Inc. (Store)",5505 N Road 68   Pasco WA 99301,"Maverik,Inc. ,5505 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2774021,-119.1854517
"Maverik, Inc. II (Store)",3520  Keene Rd  Richland WA 99352,"Maverik,Inc. II ,3520  Keene Rd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2344297,-119.280056
"Maverik, Inc. III #468 (Store)",3505 N Road 68   Pasco WA 99301,"Maverik,Inc. III  ,3505 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2663536,-119.1826085
Max Mart (Store),1400 W 4th Ave  Kennewick WA 99336,"Max Mart ,1400 W 4th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2061085,-119.1384875
McCary Meats (HACCP),6880  Road 170   Mesa WA 99343,"McCary Meats ,6880  Road 170   Mesa WA 99343",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Grocery,46.59155811,-119.1450213
McCorkle's Market (Store),14601 N Rothrock Rd  Prosser WA 99350,"McCorkle's Market ,14601 N Rothrock Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.23588374,-119.7058776
Metro Mart (Connell) (Store),1  Eagle Crest Dr  Connell WA 99326,"Metro Mart ,1  Eagle Crest Dr  Connell WA 99326",1-4 Registers (Grocery),Permitted,(Grocery),(Connell) (Store),Grocery,46.64947296,-118.8513231
Metro Mart (Store),1015 W Lewis St  Pasco WA 99301,"Metro Mart ,1015 W Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2289825,-119.1011975
Metro Mart III (Store),520 E Columbia Dr  Kennewick WA 99336,"Metro Mart III ,520 E Columbia Dr  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.211945,-119.108621
"Mid Columbia Fuel, Inc. (Store)",6409 W Court St  Pasco WA 99301,"Mid Columbia Fuel,Inc. ,6409 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.24174624,-119.1757856
MJR Investments DBA Vista Mart (Store),2610 W Kennewick Ave  Kennewick WA 99336,"MJR Investments DBA Vista Mart ,2610 W Kennewick Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2097039,-119.1561436
Mr. Qwik's Country (Store),13101 N Glade Rd  Eltopia WA 99330,"Mr. Qwik's Country ,13101 N Glade Rd  Eltopia WA 99330",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.46016273,-119.1118443
Mr. Qwik's Gas & Goodies (Store),2519 W Court St  Pasco WA 99301,"Mr. Qwik's Gas & Goodies ,2519 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.24158738,-119.1241431
Multiservicios y Mas La Mexicana,4215 W Clearwater Ste A Ave  Kennewick WA 99336,"Multiservicios y Mas La Mexicana,4215 W Clearwater Ste A Ave  Kennewick WA 99336",0 Seats,Permitted,(None,,Food Service,46.21211913,-119.1777413
Natural Grocers,751 N Columbia Center Blvd  Kennewick WA 99336,"Natural Grocers,751 N Columbia Center Blvd  Kennewick WA 99336",1-4 Registers (Grocery),Pending,(Grocery),,Grocery,46.21798066,-119.2250838
Neighbor's Conoco (Store),780  Stevens Dr  Richland WA 99352,"Neighbor's Conoco ,780  Stevens Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.27621216,-119.2817791
"North Korners, Inc. (Store)",52 E Vineyard Dr  Pasco WA 99301,"North Korners,Inc. ,52 E Vineyard Dr  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.32125237,-119.0922172
North Prosser Market (Grocery),130702 W Johnson Way  Prosser WA 99350,"North Prosser Market ,130702 W Johnson Way  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.22909153,-119.7687568
Oakdell Egg Farms (Store),7401 N Glade Rd  Pasco WA 99301,"Oakdell Egg Farms ,7401 N Glade Rd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.37762808,-119.1150803
One Stop Mart (Store),1903  Jadwin Ave  Richland WA 99354,"One Stop Mart ,1903  Jadwin Ave  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.30065595,-119.2820736
One Stop Mart 55 (Store),2221 E Lewis St  Pasco WA 99301,"One Stop Mart 55 ,2221 E Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2338081,-119.0733388
Pacific Food Mart (Store),3419 W Clearwater Ave  Kennewick WA 99336,"Pacific Food Mart ,3419 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.21222948,-119.1680657
Pacific Mini Mart (Store),18 S Washington St  Kennewick WA 99336,"Pacific Mini Mart ,18 S Washington St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2082275,-119.1170816
Paradise Food Mart (Grocery),1400  Bombing Range Rd  West Richland WA 99353,"Paradise Food Mart ,1400  Bombing Range Rd  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.288649,-119.350403
Pik-A-Pop #1 (Store),1949 N 4th Ave  Pasco WA 99301,"Pik-A-Pop  ,1949 N 4th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2462089,-119.0944041
Pik-A-Pop #5 (Grocery),110 S Elm Ave  Pasco WA 99301,"Pik-A-Pop  ,110 S Elm Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.233391,-119.0714251
Pik-A-Pop #7 (Store),1502 N 4th Ave  Pasco WA 99301,"Pik-A-Pop  ,1502 N 4th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2416269,-119.0955006
Pik-A-Pop #8 (Store),526 W Columbia Dr  Kennewick WA 99336,"Pik-A-Pop  ,526 W Columbia Dr  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.216705,-119.125064
Pik-A-Pop Conoco Gas Station (Store),505  9th St  Benton City WA 99320,"Pik-A-Pop Conoco Gas Station ,505  9th St  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.26219599,-119.4877024
Pit Stop Mini Mart (Store),6193 W Van Giesen St  West Richland WA 99353,"Pit Stop Mini Mart ,6193 W Van Giesen St  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2991396,-119.3437318
Prosser Food Mart (Store),1303  Wine Country Rd  Prosser WA 99350,"Prosser Food Mart ,1303  Wine Country Rd  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.20889786,-119.7722846
Prosser Mini Mart (Grocery),1232  Meade Ave  Prosser WA 99350,"Prosser Mini Mart ,1232  Meade Ave  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.20553886,-119.7692095
PTM Market (Store),1017  Kinney Way  Prosser WA 99350,"PTM Market ,1017  Kinney Way  Prosser WA 99350",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.19777441,-119.7765655
Queensgate Food Mart (Grocery),999  Queensgate Dr  Richland WA 99352,"Queensgate Food Mart ,999  Queensgate Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.249579,-119.3019747
Quick Stop Market & Smoke Shop (Grocery),1931 W Court St  Pasco WA 99301,"Quick Stop Market & Smoke Shop ,1931 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,35.9015768,-86.382915
Quiktrip Gas & Food,221 S 10th Ave  Pasco WA 99301,"Quiktrip Gas & Food,221 S 10th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),,Food Service,32.83357365,-96.83714517
Quiktrip Gas & Food (R) (Store),33  Goethals Dr  Richland WA 99352,"Quiktrip Gas & Food ,33  Goethals Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(R) (Store),Conveince Store,32.83357365,-96.83714517
Ramirez Shellfish (Store),1202 W Lewis St  Pasco WA 99301,"Ramirez Shellfish ,1202 W Lewis St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.22788419,-119.1028385
Ramos Food Service,110 S 4th Ave  Pasco WA 99301,"Ramos Food Service,110 S 4th Ave  Pasco WA 99301",0 Seats,Permitted,(None,,Food Service,46.23026888,-119.0922492
Rancho Meat Market (Store),4903  Robert Wayne Dr  Pasco WA 99301,"Rancho Meat Market ,4903  Robert Wayne Dr  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.27067371,-119.175227
Rancho Meat Market 2 (Grocery),8425  Chapel Hill Blvd  Pasco WA 99301,"Rancho Meat Market 2 ,8425  Chapel Hill Blvd  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.2611305,-119.1742212
Red Apple Market (Store),902 S Washington St  Kennewick WA 99336,"Red Apple Market ,902 S Washington St  Kennewick WA 99336",5-9 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.1990488,-119.117567
Richland Food Mart (Store),500  George Washington Way  Richland WA 99352,"Richland Food Mart ,500  George Washington Way  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.272809,-119.2725199
Richland Health Foods (Store),1769  George Washington Way  Richland WA 99354,"Richland Health Foods ,1769  George Washington Way  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2991248,-119.2756452
Rite Aid #5314 (Store),1308 N 20th Ave  Pasco WA 99301,"Rite Aid  ,1308 N 20th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.23947075,-119.1190917
Rite Aid #5316 (Store),1901 N Steptoe St  Kennewick WA 99336,"Rite Aid  ,1901 N Steptoe St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.227365,-119.244061
Rite Aid #5317 (Store),101 N Ely St  Kennewick WA 99336,"Rite Aid  ,101 N Ely St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2102767,-119.1606115
Rite Aid #5318 (Store),1549  George Washington Way  Richland WA 99352,"Rite Aid  ,1549  George Washington Way  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2932848,-119.2744424
Rite Aid #5319 (Store),1329  Lee Blvd  Richland WA 99352,"Rite Aid  ,1329  Lee Blvd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.27476189,-119.2822234
Rocket Mart (Store),2111  Van Giesen St  Richland WA 99352,"Rocket Mart ,2111  Van Giesen St  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.29298567,-119.2979244
Ron's Food Mart (Store),1821 S Washington St  Kennewick WA 99336,"Ron's Food Mart ,1821 S Washington St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.1911012,-119.116454
Royal Mart 103 (Grocery),4804 N Road 68   Pasco WA 99301,"Royal Mart 103 ,4804 N Road 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.2663536,-119.1826085
Royal Mart 104 (Grocery),4212 W 27th Ave  Kennewick WA 99336,"Royal Mart 104 ,4212 W 27th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.18483514,-119.1769773
S & S Petroleum (Food Service),1811  Leslie Rd  Richland WA 99352,"S & S Petroleum ,1811  Leslie Rd  Richland WA 99352",0 Seats,Permitted,(None,(Food Service),Food Service,47.7981346,13.0464806
S & S Petroleum (Food Service),1440 N 20th Ave  Pasco WA 99301,"S & S Petroleum ,1440 N 20th Ave  Pasco WA 99301",0 Seats,Permitted,(None,(Food Service),Food Service,47.7981346,13.0464806
S & S Petroleum (Store),1811  Leslie Rd  Richland WA 99352,"S & S Petroleum ,1811  Leslie Rd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,47.7981346,13.0464806
S & S Petroleum (Store),5208 W Clearwater Ave  Kennewick WA 99336,"S & S Petroleum ,5208 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,47.7981346,13.0464806
S & S Petroleum (Store),1440 N 20th Ave  Pasco WA 99301,"S & S Petroleum ,1440 N 20th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,47.7981346,13.0464806
Safeway #252 (Store),690  Gage Blvd  Richland WA 99352,"Safeway  ,690  Gage Blvd  Richland WA 99352",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22744839,-119.27989
Safeway Store #333 (Store),1803  George Washington Way  Richland WA 99352,"Safeway Store  ,1803  George Washington Way  Richland WA 99352",5-9 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2995078,-119.2758975
Safeway Store #335 (Store),2825 W Kennewick Ave  Kennewick WA 99336,"Safeway Store  ,2825 W Kennewick Ave  Kennewick WA 99336",5-9 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2082703,-119.1603073
Sammy's Meat Market (Store),201 N 3rd Ave  Pasco WA 99301,"Sammy's Meat Market ,201 N 3rd Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2321247,-119.0907548
Sam's Funnel Cakes,10 E Bruneau   Kennewick WA 99336,"Sam's Funnel Cakes,10 E Bruneau   Kennewick WA 99336",0 Seats,Pending,(None,,Food Service,46.21116944,-119.1153077
Sandoval's Market (Store),6930  Road 170   Mesa WA 99343,"Sandoval's Market ,6930  Road 170   Mesa WA 99343",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.59149803,Ê-119.14640785441591
"Schwan's Home Service, Inc. #518097 (C03523M)",1947  Butler Loop NE Richland WA 99354,"Schwan's Home Service,Inc.  ,1947  Butler Loop NE Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(C03523M),Food Service,46.30182479,-119.2978925
Seven Eleven #14423M (Store),4313 W Court St  Pasco WA 99301,"Seven Eleven M ,4313 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2419423,-119.1483475
Seven Eleven #14428G (Store),415  Wright Ave  Richland WA 99352,"Seven Eleven G ,415  Wright Ave  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.27063624,-119.2969703
Seven Eleven #2362-25412E (Store),2411  George Washington Way  Richland WA 99354,"Seven Eleven -25412E ,2411  George Washington Way  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.31865176,-119.2731517
Seven Eleven #26088K (Store),1540  Jadwin Ave  Richland WA 99352,"Seven Eleven K ,1540  Jadwin Ave  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.29306862,-119.2788838
Shopping Spot (Store),148 S Road 28   Pasco WA 99301,"Shopping Spot ,148 S Road 28   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2308476,Ê-119.12858913939716
Sky Market #3 (Store),1935 W Sylvester St  Pasco WA 99301,"Sky Market  ,1935 W Sylvester St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.23419841,-119.1166543
SM Produce for Less (Grocery),135  Vista Way  Kennewick WA 99336,"SM Produce for Less ,135  Vista Way  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.21073063,-119.1569641
Somer Bakery (Grocery),5601 W Clearwater Ave  Kennewick WA 99336,"Somer Bakery ,5601 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.21234241,-119.196107
Sun Market #39 (Store),10799  Ridgeline Dr  Kennewick WA 99337,"Sun Market  ,10799  Ridgeline Dr  Kennewick WA 99337",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.1953317,-119.2654999
Sun Market #41 (Grocery),2607  Kingsgate Way  Richland WA 99354,"Sun Market  ,2607  Kingsgate Way  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.3340714,-119.3151558
Sun Market #42 (Grocery),1001 E Jacobs Rd NE Benton City WA 99320,"Sun Market  ,1001 E Jacobs Rd NE Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.2615746,-119.4058982
Sun Market #43 (Store),6255  Keene Rd  West Richland WA 99353,"Sun Market  ,6255  Keene Rd  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2729031,-119.3701293
Sun Market #45 (Grocery),1400 W 27th Ave  Kennewick WA 99336,"Sun Market  ,1400 W 27th Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.184207,-119.138161
Sunrise Food Mart (Store),620 N 28th Ave  Pasco WA 99301,"Sunrise Food Mart ,620 N 28th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.2335161,-119.1281233
Sunrise Food Mart 2 (Store),508 N 4th Ave  Pasco WA 99301,"Sunrise Food Mart 2 ,508 N 4th Ave  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.234628,-119.094698
Super Mex El Pueblo Market (Store),720 N 20th Ave  Pasco WA 99301,"Super Mex El Pueblo Market ,720 N 20th Ave  Pasco WA 99301",5-9 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.235514,-119.1184807
Superior Gasoline (Store),4105  Kennedy Rd  West Richland WA 99353,"Superior Gasoline ,4105  Kennedy Rd  West Richland WA 99353",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.25785244,-119.3380736
Swift Stop (Store),2110  Swift Blvd  Richland WA 99352,"Swift Stop ,2110  Swift Blvd  Richland WA 99352",1-4 Registers (Grocery),Pending,(Grocery),(Store),Conveince Store,46.279054,-119.2979777
Target #2314 (Store),2941  Queensgate Dr  Richland WA 99352,"Target  ,2941  Queensgate Dr  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.25902635,-119.313128
Target #830 (Store),1106 N Columbia Center Blvd  Kennewick WA 99336,"Target  ,1106 N Columbia Center Blvd  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.22171511,-119.2213976
Templeman's Market (HACCP),6205 W Clearwater Ave  Kennewick WA 99336,"Templeman's Market ,6205 W Clearwater Ave  Kennewick WA 99336",Map Facilities (Grocery),Permitted,(Grocery),(HACCP),Grocery,46.21236733,-119.2038535
Tesoro Truck Stop (Store),528 S Ely St  Kennewick WA 99336,"Tesoro Truck Stop ,528 S Ely St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.20447367,-119.1587035
Tortilleria La Suavecita (Store),3902 W Clearwater Ave  Kennewick WA 99336,"Tortilleria La Suavecita ,3902 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.21242614,-119.1737044
Tortilleria Y Carniceria Monarca (Grocery),1108 W Sylvester St  Pasco WA 99301,"Tortilleria Y Carniceria Monarca ,1108 W Sylvester St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.23396115,-119.1045538
Total Stop (Store),813 W Columbia Dr  Kennewick WA 99336,"Total Stop ,813 W Columbia Dr  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.21675343,-119.1290617
U.R.M. Cash & Carry #3 (Store),525 N Fruitland St  Kennewick WA 99336,"U.R.M. Cash & Carry  ,525 N Fruitland St  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.21471827,-119.1263059
Uncle Jay's Grocery and Deli (Grocery),305 N Spokane Ave  Kahlotus WA 99335,"Uncle Jay's Grocery and Deli ,305 N Spokane Ave  Kahlotus WA 99335",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.6426264,-118.5525331
US Foods CHEF'STORE,1939  Fowler St  Richland WA 99352,"US Foods CHEF'STORE,1939  Fowler St  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),,Grocery,46.23345905,-119.2178992
V-5 Market (Store),1009  Dale Ave  Benton City WA 99320,"V-5 Market ,1009  Dale Ave  Benton City WA 99320",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Grocery,46.26399478,-119.4892694
Veronica's Fresh Produce (Food Service),110 S 4th Ave  Pasco WA 99301,"Veronica's Fresh Produce, 110 S 4th Ave  Pasco WA 99301",0 Seats,Permitted,(None,(Food Service),Grocery,46.23026888,-119.0922492
Veronica's Fresh Produce (Grocery),3423 W Court St  Pasco WA 99301,"Veronica's Fresh Produce ,3423 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Grocery),Grocery,46.24158678,-119.1361163
Veronica's Fruit Stand (Grocery),1345  Lee Blvd  Richland WA 99352,"Veronica's Fruit Stand ,1345  Lee Blvd  Richland WA 99352",1-4 Registers (Grocery),Pending,(Grocery),(Grocery),Grocery,46.2747688,-119.2827929
Walgreens #01078 (Store),2005 W Court St  Pasco WA 99301,"Walgreens  ,2005 W Court St  Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.24158886,-119.1176098
Walgreens #10195 (Store),2800 W Clearwater Ave  Kennewick WA 99336,"Walgreens  ,2800 W Clearwater Ave  Kennewick WA 99336",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2122688,-119.1616751
Walgreens #10478 (Store),1601  George Washington Way  Richland WA 99354,"Walgreens, 1601  George Washington Way  Richland WA 99354",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.2948893,-119.2753967
Walgreens #9113 (Store),4000 W 27th Ave  Kennewick WA 99337,"Walgreens, 4000 W 27th Ave  Kennewick WA 99337",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.184605,-119.174111
Walgreens #9596 (Store),585  Gage Blvd  Richland WA 99352,"Walgreens, 585  Gage Blvd  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.22663875,-119.2655236
Walgreens #9765 (Store),5506  Rd 68   Pasco WA 99301,"Walgreens, 5506  Rd 68   Pasco WA 99301",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Conveince Store,46.27730755,-119.187184
"Walmart, Inc. #2101 (Store)",2720 S Quillan St  Kennewick WA 99337,"Walmart, 2720 S Quillan St  Kennewick WA 99337",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.18254615,-119.1772661
"Walmart, Inc. #3261 (Store)",2801  Duportail St  Richland WA 99352,"Walmart, 2801  Duportail St  Richland WA 99352",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2559121,-119.3080096
"Walmart, Inc. #3380 (Store)",4820 N Road 68   Pasco WA 99301,"Walmart,Inc.  ,4820 N Road 68   Pasco WA 99301",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2719978,-119.1882452
Winco Foods #2 (Store),4602 W Clearwater Ave  Kennewick WA 99336,"Winco Foods  ,4602 W Clearwater Ave  Kennewick WA 99336",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.21357705,-119.1824126
Winco Foods #45 (Store),101  Columbia Point Dr  Richland WA 99352,"Winco Foods  ,101  Columbia Point Dr  Richland WA 99352",10+ Registers (Grocery),Permitted,(Grocery),(Store),Grocery or other Store that Sells Produce,46.2637953,-119.2642995
Wright's Desert Gold (Store),611  Columbia Park Trail  Richland WA 99352,"Wright's Desert Gold ,611  Columbia Park Trail  Richland WA 99352",1-4 Registers (Grocery),Permitted,(Grocery),(Store),Food Service,46.2500877,-119.2872423
